1,0.000126
2,0.000106
3,0.000118
4,0.000105
5,0.000121
6,0.000110
7,0.000112
8,0.000117
9,0.000123
10,0.000122
11,0.000124
12,0.000108
13,0.000109
14,0.000117
15,0.000115
16,0.000117
17,0.000113
18,0.000115
19,0.000105
20,0.000124
21,0.000104
22,0.000117
23,0.000125
24,0.000125
25,0.000113
26,0.000121
27,0.000114
28,0.000111
29,0.000111
30,0.000117
31,0.000117
32,0.000107
33,0.000117
34,0.000117
35,0.000106
36,0.000109
37,0.000123
38,0.000118
39,0.000105
40,0.000109
41,0.000119
42,0.000126
43,0.000124
44,0.000105
45,0.000113
46,0.000108
47,0.000116
48,0.000119
49,0.000121
50,0.000121
51,0.000113
52,0.000119
53,0.000124
54,0.000104
55,0.000108
56,0.000104
57,0.000113
58,0.000105
59,0.000111
60,0.000114
61,0.000108
62,0.000114
63,0.000121
64,0.000115
65,0.000121
66,0.000116
67,0.000121
68,0.000111
69,0.000104
70,0.000126
71,0.000103
72,0.000111
73,0.000121
74,0.000119
75,0.000110
76,0.000108
77,0.000109
78,0.000119
79,0.000107
80,0.000112
81,0.000122
82,0.000108
83,0.000123
84,0.000112
85,0.000107
86,0.000112
87,0.000121
88,0.000104
89,0.000111
90,0.000115
91,0.000110
92,0.000107
93,0.000123
94,0.000109
95,0.000111
96,0.000108
97,0.000120
98,0.000126
99,0.000122
100,0.000103
